month,username,channel name,country,main topic,likes,posts,followers,comments,views
January,actionDan,wizardHighSchool,US,education,53882,431,95800,4129,442422
January,BigGiantCircles,JustBeatz,US,music,29171,350,75043,27701,340871
January,cryptozoologist,australian_wildlife,,nature,15654,702,1234050,156548,6744523
January,mangledPixel,ArtAllDay,CA,art,965094,534,8131230,398583,23267961
February,actionDan,wizardHighSchool,US,education,20260,402,94300,3830,608010
February,BigGiantCircles,JustBeatz,US,music,19075,367,78023,15371,454132
February,cryptozoologist,australian_wildlife,,nature,25574,809,1456706,262398,7690402
February,mangledPixel,ArtAllDay,CA,art,228260,98,8300936,46,239
March,actionDan,wizardHighSchool,US,education,53357,934,120343,6902,802180
March,BigGiantCircles,JustBeatz,US,music,30112,430,93203,38021,416456
March,cryptozoologist,australian_wildlife,,nature,8552,1203,1705335,120595,2565870
March,mangledPixel,ArtAllDay,CA,art,958214,654,7320935,455632,42587177
April,actionDan,wizardHighSchool,US,education,45321,1021,123546,7604,3212343
April,BigGiantCircles,JustBeatz,US,music,23356,534,12013,24567,542312
April,cryptozoologist,australian_wildlife,,nature,85452,12503,1705345,120595,2565870
April,mangledPixel,ArtAllDay,CA,art,958214,954,7320945,45532,4257177
